fund_code,month,period_start,period_end,n_periods,nav_begin,nav_end,nav_per_unit_begin,nav_per_unit_end,subscriptions,redemptions,net_flow,chg_investment,chg_distribution,period_days,gross_return,reconcile_residual_vnd,market_return,excess_return,deposit_rate_pct,deposit_rate_provenance,asset_class,fund_name,manager_id,gross_subscription_rate,gross_redemption_rate,net_flow_rate,churn_rate,gross_legs_disclosed,flow_asymmetry
SSIBF,2023-04,2023-03-28,2023-04-24,4,448197326370.0,452360811173.0,13600.59,13780.2,0.0,0.0,-1858492728.0,6021977531.0,0.0,24,0.013206044737764877,0.0,-0.016432190840114935,0.029638235577879812,7.2,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230422161036 of https://www.agribank.com.vn/vn/lai-suat",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.004146594856002688,0.0,True,
SSIBF,2023-05,2023-04-25,2023-05-29,4,452360811173.0,455032095816.0,13780.2,13913.83,0.0,0.0,-1025252063.0,3473218452.0,0.0,24,0.0076891779058057,223318254.0,0.03831686025603975,-0.030627682350234053,6.8,"Shinhan Securities Vietnam, Vietnam Economic Update (25 Mar 2024), indicator table row ""Avg. Deposit rate 12M term of SCBs"", column 05/23 = 6.8% (https://shinhansec.com.vn/uploads/report/Vietnam_economic_update_2402_E.pdf)",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.0022664475738768284,0.0,True,
SSIBF,2023-06,2023-05-30,2023-06-26,3,455032095.0,455624746350.0,1391.0,14036.4,0.0,0.0,-1171915277.0,1322876849.0,0.0,18,0.008811265330878504,455018752683.0,0.04415621512950185,-0.03534494979862335,6.8,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20230606055027 of https://www.agribank.com.vn/vn/lai-suat",bond,SSI Bond Fund,ssiam,0.0,0.0,-2.5754563027032193,0.0,True,
SSIBF,2023-07,2023-07-18,2023-07-24,1,455086656006.0,455821621691.0,14057.83,14089.97,0.0,0.0,-305438181.0,1040403866.0,0.0,6,0.0022862703560933006,0.0,0.014164161180148183,-0.011877890824054882,6.4,"VNDIRECT Research, average 12-month term deposit rate across commercial banks: ""the average 12-month deposit interest rate of commercial banks fell to 6.40% p.a at the end of July 2023"" (https://www.vndirect.com.vn/cmsupload/beta/Vietnam-Money-market-chartbook_August_20230809.pdf)",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.0006711648802903441,0.0,True,
SSIBF,2023-08,2023-08-08,2023-08-14,1,455975577122.0,458072108320.0,14113.63,14182.83,0.0,0.0,-137519680.0,2234050878.0,0.0,6,0.004903061792040697,0.0,-0.0043389710440095985,0.009242032836050296,5.9,"VNDIRECT Research, average 12-month term deposit rate across commercial banks: ""decreased to 5.4%/year on October 10, down 0.5% points compared to the end of August (corroborated by the 25 Sep report's 0.3pp decline from end-August)"" (https://www.vndirect.com.vn/cmsupload/beta/Econ_Update_20231017.pdf)",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.0003015943986912384,0.0,True,
SSIBF,2023-10,2023-10-03,2023-10-30,4,462696211661.0,465946970769.0,14412.49,14530.78,0.0,0.0,-544797768.0,3795556876.0,0.0,24,0.008207464497807404,0.0,-0.06707583371959192,0.07528329821739932,5.3,"VNDIRECT Research, average 12-month term deposit rate across commercial banks: ""As of October 26, 2023, the average 12-month deposit interest rate of commercial banks has decreased to 5.3%/year"" (https://www.vndirect.com.vn/Market-Strategy_November_20231106.pdf)",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.0011774416004926202,0.0,True,
SSIBF,2023-11,2023-10-31,2023-11-27,4,465946970769.0,286347712249.0,14530.78,14665.28,0.0,0.0,-182931815776.0,3332557256.0,0.0,24,0.009256213362255794,0.0,0.05163613335768802,-0.042379919995432225,5.18,"Shinhan Securities Vietnam, Vietnam Economic Update (25 Mar 2024), indicator table row ""Avg. Deposit rate 12M term of SCBs"", column 11/23 = 5.18% (https://shinhansec.com.vn/uploads/report/Vietnam_economic_update_2402_E.pdf)",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.39260222139461254,0.0,True,
SSIBF,2023-12,2023-11-28,2023-12-25,4,286347712249.0,143895639465.0,14665.28,14727.0,0.0,0.0,-143172135548.0,720062764.0,0.0,24,0.004208579720264449,0.0,0.018368406660099312,-0.014159826939834863,5.3,"Agribank published board rate, 12 months VND retail term deposit, read from Wayback Machine snapshot 20231204024251 of https://www.agribank.com.vn/vn/lai-suat",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.4999939913034873,0.0,True,
SSIBF,2024-01,2024-01-02,2024-01-29,4,149165720495.0,115803112567.0,14743.2,14818.72,0.0,0.0,-34002665956.0,640058028.0,0.0,24,0.00509385397124773,0.0,0.03693623062017393,-0.031842376648926196,5.14,"VNDIRECT Research, average 12-month term deposit rate across commercial banks: ""As of January 31, 2024, the average 12-month term deposit interest rate of commercial banks has decreased to 5.14%/year"" (https://www.vndirect.com.vn/cmsupload/beta/Market-Strategy_Feb_20240206.pdf)",bond,SSI Bond Fund,ssiam,0.0,0.0,-0.22795227913734886,0.0,True,
SSIBF,2024-02,2024-01-30,2024-02-19,3,115803112567.0,116900218402.0,14818.72,14891.07,0.0,0.0,532866183.0,564239652.0,0.0,18,0.004882338015698817,0.0,0.03630373292019695,-0.031421394904498134,4.78,"Shinhan Securities Vietnam, Vietnam Economic Update (25 Mar 2024), indicator table row ""Avg. Deposit rate 12M term of SCBs"", column 02/24 = 4.78% (https://shinhansec.com.vn/uploads/report/Vietnam_economic_update_2402_E.pdf)",bond,SSI Bond Fund,ssiam,0.0,0.0,0.004601484115478335,0.0,True,
