manager_id,fund_key,title,published,reason
vinacapital,vff,20250828_VFF_BC_Ky_Ky-so_20250827-1.xlsx,2025-08-28,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250826_VFF_BC_Ky_Ky-so_20250825.xlsx,2025-08-26,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250821_VFF_BC_Ky_Ky-so_20250820-1.xlsx,2025-08-21,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250819_VFF_BC_Ky_Ky-so_20250818.xlsx,2025-08-19,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250814_VFF_BC_Ky_Ky-so_20250813-1.xlsx,2025-08-14,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250812_VFF_BC_Ky_Ky-so_20250811-1.xlsx,2025-08-12,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250807_VFF_BC_Ky_Ky-so_20250806.xlsx,2025-08-07,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250805_VFF_BC_Ky_Ky-so_20250804.xlsx,2025-08-05,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250731_VFF_BC_Ky_Ky-so_20250730.xlsx,2025-07-31,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250729_VFF_BC_Ky_Ky-so_20250728.xlsx,2025-07-29,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250724_VFF_BC_Ky_Ky-so_20250723-1.xlsx,2025-07-24,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250722_VFF_BC_Ky_Ky-so_20250721-1.xlsx,2025-07-22,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250717_VFF_BC_Ky_Ky-so_20250716.xlsx,2025-07-17,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250715_VFF_BC_Ky_Ky-so_20250714-1.xlsx,2025-07-15,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250710_VFF_BC_Ky_Ky-so_20250709-1.xlsx,2025-07-10,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250708_VFF_BC_Ky_Ky-so_20250707.xlsx,2025-07-08,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250703_VFF_BC_Ky_Ky-so_20250702.xlsx,2025-07-03,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250701_VFF_BC_Ky_Ky-so_20250630-1.xlsx,2025-07-01,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250626_VFF_BC_Ky_Ky-so_20250625.xlsx,2025-06-26,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250624_VFF_BC_Ky_Ky-so_20250623.xlsx,2025-06-24,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250619_VFF_BC_Ky_Ky-so_20250618.xlsx,2025-06-19,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250617_VFF_BC_Ky_Ky-so_20250616.xlsx,2025-06-17,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250612_VFF_BC_Ky_Ky-so_20250611.xlsx,2025-06-12,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250610_VFF_BC_Ky_Ky-so_20250609-1.xlsx,2025-06-10,filename matches neither the weekly nor the daily pattern
vinacapital,vff,20250605_VFF_BC_Ky_Ky-so_20250604-1.xlsx,2025-06-05,filename matches neither the weekly nor the daily pattern
